,run,database,workload,record_nbr,records,type,throughput,throughput_value,runtime,runtime_value
94,run-3,Mongodb,workload c,1000000,1M,OVERALL,Throughput(ops/sec),2.5218963651907687,RunTime(ms),396.527
95,run-4,Mongodb,workload c,1000000,1M,OVERALL,Throughput(ops/sec),2.260208798088767,RunTime(ms),442.422
96,run-5,Mongodb,workload c,1000000,1M,OVERALL,Throughput(ops/sec),2.260208798088767,RunTime(ms),442.437
97,run-6,Mongodb,workload c,1000000,1M,OVERALL,Throughput(ops/sec),3.731705314694709,RunTime(ms),267.974
98,run-7,Mongodb,workload c,1000000,1M,OVERALL,Throughput(ops/sec),3.4552698047427035,RunTime(ms),289.413
99,run-8,Mongodb,workload c,1000000,1M,OVERALL,Throughput(ops/sec),2.811942883816144,RunTime(ms),355.626
100,run-9,Mongodb,workload c,1000000,1M,OVERALL,Throughput(ops/sec),3.31394674487581,RunTime(ms),301.755
101,run-1,Mongodb,workload d,100,100,OVERALL,Throughput(ops/sec),0.06289308176100629,RunTime(ms),1.59
102,run-10,Mongodb,workload d,100,100,OVERALL,Throughput(ops/sec),0.057208237986270026,RunTime(ms),1.748
103,run-2,Mongodb,workload d,100,100,OVERALL,Throughput(ops/sec),0.06172839506172839,RunTime(ms),1.62
104,run-3,Mongodb,workload d,100,100,OVERALL,Throughput(ops/sec),0.059844404548174746,RunTime(ms),1.671
105,run-4,Mongodb,workload d,100,100,OVERALL,Throughput(ops/sec),0.06016847172081829,RunTime(ms),1.662
106,run-5,Mongodb,workload d,100,100,OVERALL,Throughput(ops/sec),0.05889281507656066,RunTime(ms),1.698
107,run-6,Mongodb,workload d,100,100,OVERALL,Throughput(ops/sec),0.0637348629700446,RunTime(ms),1.569
108,run-7,Mongodb,workload d,100,100,OVERALL,Throughput(ops/sec),0.06369426751592357,RunTime(ms),1.57
109,run-8,Mongodb,workload d,100,100,OVERALL,Throughput(ops/sec),0.054914881933003847,RunTime(ms),1.821
110,run-9,Mongodb,workload d,100,100,OVERALL,Throughput(ops/sec),0.06854009595613435,RunTime(ms),1.459
131,run-1,Mongodb,workload d,1000,1k,OVERALL,Throughput(ops/sec),0.32722513089005234,RunTime(ms),3.056
132,run-10,Mongodb,workload d,1000,1k,OVERALL,Throughput(ops/sec),0.3734129947722181,RunTime(ms),2.678
133,run-2,Mongodb,workload d,1000,1k,OVERALL,Throughput(ops/sec),0.41666666666666674,RunTime(ms),2.4
134,run-3,Mongodb,workload d,1000,1k,OVERALL,Throughput(ops/sec),0.5955926146515782,RunTime(ms),1.679
135,run-4,Mongodb,workload d,1000,1k,OVERALL,Throughput(ops/sec),0.4904364884747425,RunTime(ms),2.039
136,run-5,Mongodb,workload d,1000,1k,OVERALL,Throughput(ops/sec),0.3472222222222222,RunTime(ms),2.88
137,run-6,Mongodb,workload d,1000,1k,OVERALL,Throughput(ops/sec),0.4206983592763988,RunTime(ms),2.377
138,run-7,Mongodb,workload d,1000,1k,OVERALL,Throughput(ops/sec),0.47147571900047147,RunTime(ms),2.121
139,run-8,Mongodb,workload d,1000,1k,OVERALL,Throughput(ops/sec),0.49480455220188024,RunTime(ms),2.021
140,run-9,Mongodb,workload d,1000,1k,OVERALL,Throughput(ops/sec),0.43159257660768235,RunTime(ms),2.317
121,run-1,Mongodb,workload d,10000,10k,OVERALL,Throughput(ops/sec),1.042535446205171,RunTime(ms),9.592
122,run-10,Mongodb,workload d,10000,10k,OVERALL,Throughput(ops/sec),1.4427932477276004,RunTime(ms),6.931
123,run-2,Mongodb,workload d,10000,10k,OVERALL,Throughput(ops/sec),1.4242985329725109,RunTime(ms),7.021
124,run-3,Mongodb,workload d,10000,10k,OVERALL,Throughput(ops/sec),1.2645422357106726,RunTime(ms),7.908
125,run-4,Mongodb,workload d,10000,10k,OVERALL,Throughput(ops/sec),1.0757314974182444,RunTime(ms),9.296
126,run-5,Mongodb,workload d,10000,10k,OVERALL,Throughput(ops/sec),1.3082155939298796,RunTime(ms),7.644
127,run-6,Mongodb,workload d,10000,10k,OVERALL,Throughput(ops/sec),1.2083131947800871,RunTime(ms),8.276
128,run-7,Mongodb,workload d,10000,10k,OVERALL,Throughput(ops/sec),1.2725884448969202,RunTime(ms),7.858
129,run-8,Mongodb,workload d,10000,10k,OVERALL,Throughput(ops/sec),1.6105653084232565,RunTime(ms),6.209
130,run-9,Mongodb,workload d,10000,10k,OVERALL,Throughput(ops/sec),1.5708451146716933,RunTime(ms),6.366
111,run-1,Mongodb,workload d,100000,100K,OVERALL,Throughput(ops/sec),2.348575588905329,RunTime(ms),42.579
112,run-10,Mongodb,workload d,100000,100K,OVERALL,Throughput(ops/sec),1.9771442128988888,RunTime(ms),50.578
113,run-2,Mongodb,workload d,100000,100K,OVERALL,Throughput(ops/sec),2.1605271686291454,RunTime(ms),46.285
114,run-3,Mongodb,workload d,100000,100K,OVERALL,Throughput(ops/sec),2.39595562690179,RunTime(ms),41.737
115,run-4,Mongodb,workload d,100000,100K,OVERALL,Throughput(ops/sec),1.4076378429357694,RunTime(ms),71.041
116,run-5,Mongodb,workload d,100000,100K,OVERALL,Throughput(ops/sec),2.1953414853680493,RunTime(ms),45.551
117,run-6,Mongodb,workload d,100000,100K,OVERALL,Throughput(ops/sec),2.123818625889349,RunTime(ms),47.085
118,run-7,Mongodb,workload d,100000,100K,OVERALL,Throughput(ops/sec),2.505135527832056,RunTime(ms),39.918
119,run-8,Mongodb,workload d,100000,100K,OVERALL,Throughput(ops/sec),2.161461147735869,RunTime(ms),46.265
120,run-9,Mongodb,workload d,100000,100K,OVERALL,Throughput(ops/sec),2.1811677972386416,RunTime(ms),45.847
141,run-1,Mongodb,workload d,1000000,1M,OVERALL,Throughput(ops/sec),2.4907840988343133,RunTime(ms),401.48
142,run-10,Mongodb,workload d,1000000,1M,OVERALL,Throughput(ops/sec),2.533383663222109,RunTime(ms),394.729
143,run-2,Mongodb,workload d,1000000,1M,OVERALL,Throughput(ops/sec),2.7122542358630533,RunTime(ms),368.697
144,run-3,Mongodb,workload d,1000000,1M,OVERALL,Throughput(ops/sec),2.2696323195642307,RunTime(ms),440.6
145,run-5,Mongodb,workload d,1000000,1M,OVERALL,Throughput(ops/sec),2.34010090515103,RunTime(ms),427.332
